Algorithm,N,W,MaxValue,Time_Seconds,Memory_MB
Greedy,10,1000,1549,0.000009,0.000229
DP_1D,10,1000,1549,0.000011,0.003819
DP_2D,10,1000,1549,0.000007,0.042004
BranchBound,10,1000,1549,0.000000,0.000343
BruteForce,10,1000,1549,0.000037,0.000381
Greedy,15,1000,3667,0.000007,0.000343
DP_1D,15,1000,3667,0.000011,0.003819
DP_2D,15,1000,3667,0.000006,0.061096
BranchBound,15,1000,3667,0.000001,0.000515
BruteForce,15,1000,3667,0.000948,0.000572
Greedy,20,1000,5704,0.000008,0.000458
DP_1D,20,1000,5704,0.000012,0.003819
DP_2D,20,1000,5704,0.000009,0.080189
BranchBound,20,1000,5704,0.000001,0.000687
BruteForce,20,1000,5704,0.036261,0.000763
Greedy,25,1000,6143,0.000011,0.000572
DP_1D,25,1000,6143,0.000014,0.003819
DP_2D,25,1000,6143,0.000010,0.099281
BranchBound,25,1000,6143,0.000001,0.000858
BruteForce,25,1000,6143,1.221781,0.000954
Greedy,30,1000,5280,0.000011,0.000687
DP_1D,30,1000,5294,0.000016,0.003819
DP_2D,30,1000,5294,0.000012,0.118374
BranchBound,30,1000,5294,0.000001,0.001030
BruteForce,30,1000,5294,42.350454,0.001144
Greedy,35,1000,7769,0.000012,0.000801
DP_1D,35,1000,7826,0.000021,0.003819
DP_2D,35,1000,7826,0.000014,0.137466
BranchBound,35,1000,7826,0.000001,0.001202
BruteForce,35,1000,7826,1430.666828,0.001335
Greedy,40,1000,6526,0.000013,0.000916
DP_1D,40,1000,6526,0.000022,0.003819
DP_2D,40,1000,6526,0.000016,0.156559
BranchBound,40,1000,6526,0.000001,0.001373
BruteForce,40,1000,SKIPPED(n>35),N/A,N/A
Greedy,50,1000,8623,0.000015,0.001144
DP_1D,50,1000,8635,0.000029,0.003819
DP_2D,50,1000,8635,0.000019,0.194744
BranchBound,50,1000,8635,0.000002,0.001717
BruteForce,50,1000,SKIPPED(n>35),N/A,N/A
Greedy,100,1000,14818,0.000028,0.002289
DP_1D,100,1000,14925,0.000049,0.003819
DP_2D,100,1000,14925,0.000039,0.385670
BranchBound,100,1000,14925,0.000006,0.003433
BruteForce,100,1000,SKIPPED(n>35),N/A,N/A
Greedy,1000,1000,35623,0.000258,0.022888
DP_1D,1000,1000,35623,0.000401,0.003819
DP_2D,1000,1000,35623,0.000393,3.822330
BranchBound,1000,1000,35623,0.000012,0.034332
BruteForce,1000,1000,SKIPPED(n>35),N/A,N/A
Greedy,100,1000,12983,0.000027,0.002289
DP_1D,100,1000,13033,0.000051,0.003819
DP_2D,100,1000,13033,0.000040,0.385670
BranchBound,100,1000,13033,0.000002,0.003433
BruteForce,100,1000,SKIPPED(n>35),N/A,N/A
Greedy,100,10000,26501,0.000045,0.002289
DP_1D,100,10000,26501,0.000410,0.038151
DP_2D,100,10000,26501,0.000391,3.853230
BranchBound,100,10000,26501,0.000006,0.003433
BruteForce,100,10000,SKIPPED(n>35),N/A,N/A
Greedy,100,100000,26501,0.000045,0.002289
DP_1D,100,100000,26501,0.004567,0.381474
DP_2D,100,100000,26501,0.003825,38.528828
BranchBound,100,100000,26501,0.000006,0.003433
BruteForce,100,100000,SKIPPED(n>35),N/A,N/A
Greedy,100,1000000,26501,0.000047,0.002289
DP_1D,100,1000000,26501,0.046053,3.814701
DP_2D,100,1000000,26501,0.040742,385.284809
BranchBound,100,1000000,26501,0.000006,0.003433
BruteForce,100,1000000,SKIPPED(n>35),N/A,N/A
Greedy,100,50000000,26501,0.000046,0.002289
DP_1D,100,50000000,26501,2.171367,190.734867
DP_2D,100,50000000,SKIPPED(mem>512MB),N/A,N/A
BranchBound,100,50000000,26501,0.000006,0.003433
BruteForce,100,50000000,SKIPPED(n>35),N/A,N/A
Greedy,1000,1000,2288,0.000221,0.022888
DP_1D,1000,1000,2300,0.000436,0.003819
DP_2D,1000,1000,2300,0.000394,3.822330
BranchBound,1000,1000,2300,323.064302,0.034332
BruteForce,1000,1000,SKIPPED(n>35),N/A,N/A
Greedy,3,50,40,0.000003,0.000069
DP_1D,3,50,60,0.000002,0.000195
DP_2D,3,50,60,0.000001,0.000778
BranchBound,3,50,60,0.000000,0.000103
BruteForce,3,50,60,0.000001,0.000114
Greedy,30,500,640,0.000009,0.000687
DP_1D,30,500,640,0.000012,0.001911
DP_2D,30,500,640,0.000007,0.059246
BranchBound,30,500,640,0.000001,0.001030
BruteForce,30,500,640,42.319736,0.001144
